Gene	sgRNA	Rep1|beta	Rep1|z	Rep1|p-value	Rep1|fdr	Rep1|wald-p-value	Rep1|wald-fdr	Rep2|beta	Rep2|z	Rep2|p-value	Rep2|fdr	Rep2|wald-p-value	Rep2|wald-fdr
CEP68	6	0.29435	0.94163	0.0013045	0.018455	0.34638	0.9996	0.23558	0.7497	0.032757	0.12438	0.45343	0.81154
APCS	6	-0.062192	-0.44328	0.53459	0.71502	0.65756	0.9996	-0.31993	-2.2568	0.0086965	0.055147	0.02402	0.6378
KRTAP1-3	6	-0.088204	-0.52454	0.36477	0.57081	0.59991	0.9996	0.26317	1.567	0.016185	0.080316	0.11712	0.6928
hsa-mir-16-2	4	0.35193	1.6182	0.0020292	0.024194	0.10562	0.9996	0.011571	0.053058	0.91487	0.95233	0.95769	0.98858
LGR4	6	0.15137	0.73657	0.083631	0.24005	0.46138	0.9996	0.3029	1.4734	0.0061359	0.045357	0.14063	0.70378
CYP2C18	6	-0.0031279	-0.02729	0.9727	0.98866	0.97823	0.9996	-0.22609	-1.9645	0.060102	0.18283	0.049475	0.64072
SCAF8	6	0.1728	0.9614	0.048942	0.17526	0.33635	0.9996	0.12415	0.68874	0.25833	0.43846	0.49099	0.8242
MRPL28	6	0.00070196	0.0033576	0.93801	0.9691	0.99732	0.9996	0.23838	1.1409	0.030583	0.11937	0.25393	0.73908
hsa-mir-582	4	-0.091938	-0.3967	0.44077	0.63641	0.69159	0.9996	0.062551	0.26969	0.63402	0.76537	0.7874	0.93471
EBI3	6	0.077955	0.36109	0.35588	0.56349	0.71803	0.9996	0.19425	0.8987	0.078993	0.21496	0.36881	0.77696
OR11H4	6	0.093789	0.51001	0.27413	0.48645	0.61004	0.9996	0.21553	1.1702	0.051648	0.16625	0.24191	0.73424
hsa-mir-7-3	4	-0.22012	-0.53555	0.058122	0.19297	0.59227	0.9996	-0.034536	-0.083894	0.8281	0.89879	0.93314	0.98121
THEGL	6	0.0107	0.07801	0.84863	0.91978	0.93782	0.9996	-0.25709	-1.8536	0.033916	0.12715	0.063798	0.64709
LNPEP	6	-0.029557	-0.13657	0.79814	0.89158	0.89137	0.9996	-0.082834	-0.38124	0.48952	0.65116	0.70303	0.90129
SMIM4	6	-0.10112	-0.74231	0.2981	0.51148	0.4579	0.9996	0.14582	1.0712	0.18606	0.35987	0.28408	0.74915
TMEM136	6	0.034171	0.21067	0.65712	0.80322	0.83315	0.9996	0.43721	2.699	0.00014494	0.0037406	0.0069549	0.57842
EFR3B	6	0.17166	0.78126	0.050778	0.17914	0.43465	0.9996	-0.28107	-1.2526	0.020244	0.092781	0.21034	0.72559
TGFBR3L	6	0.36752	1.8816	0.00019326	0.0058224	0.059895	0.9996	0.24442	1.2462	0.026621	0.11044	0.21269	0.72695
C19orf71	6	0.046771	0.26768	0.5617	0.73587	0.78895	0.9996	-0.25966	-1.4742	0.032467	0.12401	0.14043	0.70378
C1orf131	6	-0.23109	-1.3312	0.01348	0.07735	0.18314	0.9996	-0.20356	-1.1664	0.089042	0.23046	0.24345	0.73475
LCE3D	6	0.034843	0.19852	0.652	0.79909	0.84264	0.9996	0.22837	1.3008	0.038361	0.13821	0.19334	0.71859
ESR2	6	0.18741	1.2156	0.033288	0.13774	0.22414	0.9996	0.10163	0.65617	0.35076	0.52989	0.51171	0.83159
SLC24A2	6	-0.20008	-1.4484	0.034738	0.14159	0.14751	0.9996	-0.07153	-0.51763	0.55469	0.70622	0.60472	0.86559
MCUR1	6	0.078047	0.34568	0.35554	0.5633	0.72959	0.9996	0.30318	1.3434	0.0060392	0.044803	0.17916	0.71487
AKR1B15	6	-0.1049	-0.72093	0.27964	0.49168	0.47095	0.9996	0.2271	1.5612	0.039811	0.14222	0.11848	0.693
PRKAG3	6	-0.086913	-0.40177	0.37255	0.57773	0.68786	0.9996	0.2293	1.0619	0.037347	0.13552	0.28827	0.75055
hsa-mir-155	4	0.032318	0.15262	0.7148	0.84196	0.8787	0.9996	0.3115	1.472	0.019857	0.091313	0.14101	0.70378
CSNK1G1	6	-0.29175	-1.5452	0.0021258	0.024691	0.1223	0.9996	-0.055625	-0.29474	0.64885	0.77639	0.76819	0.92836
REM1	6	-0.19259	-1.6435	0.042758	0.161	0.10028	0.9996	-0.3589	-3.0547	0.0041067	0.034822	0.0022528	0.50379
GPR98	6	-0.2362	-1.5139	0.011885	0.072098	0.13005	0.9996	-0.03091	-0.1981	0.81037	0.88807	0.84297	0.9526
CALB1	6	0.25669	1.5498	0.0037685	0.035813	0.12118	0.9996	-0.093139	-0.5595	0.43739	0.60701	0.57582	0.85308
NRN1	6	0.03949	0.21036	0.61595	0.77497	0.83338	0.9996	-0.080171	-0.42599	0.50493	0.66402	0.67012	0.88905
GPSM1	6	0.05602	0.15697	0.49734	0.68481	0.87527	0.9996	0.90371	2.5608	0	0	0.010443	0.60677
GIMAP1	5	-0.24208	-1.7051	0.02034	0.10077	0.088175	0.9996	-0.2472	-1.7399	0.066432	0.19404	0.081868	0.65665
RHOG	6	0.15342	0.7155	0.079766	0.23379	0.4743	0.9996	0.19736	0.91837	0.074113	0.20657	0.35843	0.77447
DIXDC1	6	-0.076817	-0.60593	0.43313	0.63067	0.54456	0.9996	-0.12108	-0.95463	0.31172	0.49278	0.33976	0.76962
hsa-mir-584	4	-0.28813	-1.5744	0.013963	0.0792	0.11539	0.9996	0.012324	0.067386	0.91144	0.95038	0.94627	0.98573
KLRK1	6	-0.045251	-0.26363	0.6676	0.81073	0.79206	0.9996	-0.12643	-0.7307	0.29012	0.47183	0.46496	0.81459
HGF	6	-0.054938	-0.31529	0.58943	0.7565	0.75254	0.9996	0.48131	2.7711	0	0	0.0055876	0.57842
NINL	6	-0.14835	-0.86769	0.12025	0.29666	0.38556	0.9996	-0.22588	-1.3156	0.060247	0.18303	0.18831	0.71601
PPP2R5E	6	-0.0012565	-0.0083425	0.95657	0.97991	0.99334	0.9996	0.24901	1.655	0.023674	0.1023	0.097915	0.67092
WDHD1	6	0.20036	0.96728	0.022659	0.10732	0.33341	0.9996	0.30148	1.45	0.0063291	0.046257	0.14706	0.70541
FABP7	6	-0.17202	-1.0324	0.071118	0.2182	0.30189	0.9996	-0.13863	-0.82899	0.24746	0.42726	0.40711	0.79393
DNAJC5G	6	0.27309	1.1407	0.0022224	0.024932	0.254	0.9996	0.06522	0.27095	0.54628	0.69939	0.78643	0.93428
RABGGTA	6	-0.1145	-0.46889	0.23495	0.44257	0.63915	0.9996	0.29545	1.2161	0.0070538	0.048862	0.22394	0.73289
ATP13A4	6	-0.073984	-0.49302	0.45009	0.64413	0.622	0.9996	-0.36428	-2.4152	0.0034303	0.030991	0.015728	0.63716
GJA10	6	0.16528	0.90634	0.059716	0.19597	0.36476	0.9996	-0.38496	-2.0888	0.0017393	0.018643	0.036724	0.64072
CDC42EP5	6	-0.1624	-1.0864	0.087448	0.24616	0.27732	0.9996	-0.18122	-1.2077	0.12909	0.28722	0.22718	0.73289
PRRG3	6	0.034697	0.26895	0.65277	0.79956	0.78797	0.9996	0.16257	1.2597	0.14228	0.30534	0.20777	0.72496
LIPG	6	-0.075104	-0.45727	0.44347	0.63867	0.64748	0.9996	0.14429	0.87865	0.1906	0.36504	0.37959	0.78023
RPS21	6	-0.31352	-1.5846	0.00086965	0.014827	0.11307	0.9996	-0.0091421	-0.046352	0.95893	0.97639	0.96303	0.99006
hsa-mir-548v	4	0.20932	0.61571	0.055802	0.18871	0.53809	0.9996	0.16971	0.49573	0.20669	0.38375	0.62009	0.87094
ANKS1A	6	-0.052267	-0.32971	0.6102	0.77095	0.74162	0.9996	-0.42371	-2.6418	0.00057977	0.0094862	0.0082478	0.57842
LY6D	6	-0.049242	-0.34792	0.63581	0.78928	0.7279	0.9996	-0.237	-1.6727	0.048266	0.15984	0.094391	0.66839
hsa-mir-503	4	0.1323	0.90629	0.2091	0.41176	0.36478	0.9996	0.16094	1.1018	0.23041	0.40969	0.27054	0.74508
RPL14	6	0.022924	0.080343	0.74795	0.86221	0.93596	0.9996	0.21336	0.74654	0.054305	0.17142	0.45534	0.81157
PRR5L	6	-0.28882	-2.4299	0.0025123	0.026971	0.015103	0.9996	-0.045867	-0.38609	0.71268	0.82353	0.69943	0.89979
IL23R	6	0.15947	0.83403	0.069234	0.21494	0.40426	0.9996	0.33133	1.7327	0.0018842	0.019837	0.083142	0.65718
SYNE2	6	-0.03496	-0.26198	0.75234	0.86436	0.79334	0.9996	-0.046553	-0.34859	0.7076	0.81978	0.7274	0.91159
ATXN7	6	0.12446	0.62766	0.1505	0.3373	0.53023	0.9996	0.070351	0.35386	0.51536	0.67232	0.72344	0.90998
C5	6	-0.10319	-0.67689	0.2881	0.50118	0.49848	0.9996	-0.0026022	-0.017051	0.9943	0.99642	0.9864	0.99635
RRAGB	6	0.11128	0.55704	0.19707	0.39679	0.5775	0.9996	-0.047195	-0.23394	0.70335	0.81699	0.81503	0.9435
HEXB	6	0.039788	0.23951	0.61354	0.77318	0.81071	0.9996	-0.22303	-1.3361	0.063774	0.18987	0.18153	0.71487
ADCY9	6	0.23139	1.3178	0.0093246	0.062907	0.18756	0.9996	0.21356	1.2149	0.054015	0.17095	0.2244	0.73289
UPK3B	6	0.082396	0.40605	0.33143	0.54084	0.68471	0.9996	0.49316	2.4387	0	0	0.014741	0.63556
OR5T2	6	-0.040916	-0.31548	0.70413	0.83547	0.7524	0.9996	0.20641	1.592	0.063001	0.18847	0.11139	0.68781
CLDND2	6	-0.1742	-1.3533	0.067543	0.2114	0.17596	0.9996	0.20927	1.6285	0.059088	0.18076	0.10343	0.67977
GSE1	6	0.2896	1.914	0.0014977	0.020235	0.055623	0.9996	0.0095133	0.062601	0.9111	0.95027	0.95008	0.98637
OR2B2	6	0.090594	0.51652	0.29032	0.50356	0.60549	0.9996	0.25068	1.4284	0.022852	0.099979	0.15317	0.7059
METTL21D	6	-0.037977	-0.27075	0.72611	0.84905	0.78658	0.9996	-0.12359	-0.87935	0.30075	0.4817	0.37921	0.78023
hsa-mir-4522	4	0.19155	0.75642	0.077834	0.23074	0.44939	0.9996	-0.26638	-1.0442	0.077206	0.21188	0.29641	0.75445
7-Mar	6	-0.11116	-0.72936	0.25031	0.45976	0.46578	0.9996	0.073143	0.47984	0.49874	0.65953	0.63134	0.87584
KIF24	6	-0.028668	-0.16049	0.80525	0.8955	0.8725	0.9996	-0.29698	-1.6568	0.014639	0.076016	0.097551	0.67026
NAPSA	6	0.046502	0.23226	0.56368	0.7373	0.81633	0.9996	-0.21284	-1.0435	0.075563	0.20904	0.29671	0.75445
TKT	6	0.099788	0.64007	0.24413	0.4529	0.52213	0.9996	0.28388	1.8203	0.0095178	0.058544	0.068713	0.64874
NDUFV2	6	0.04246	0.14713	0.5945	0.76066	0.88303	0.9996	0.17557	0.60734	0.11209	0.26457	0.54362	0.84196
C16orf93	6	0.41814	1.4543	0	0	0.14585	0.9996	0.20084	0.69327	0.069765	0.19959	0.48814	0.82358
GFOD1	6	-0.028214	-0.14817	0.80989	0.89854	0.88221	0.9996	0.011074	0.058136	0.90038	0.94383	0.95364	0.98742
RFPL2	6	0.065755	0.29469	0.43183	0.62988	0.76823	0.9996	-0.31402	-1.3901	0.009856	0.059912	0.1645	0.70994
TUBB2B	6	-0.18408	-0.73369	0.053242	0.18357	0.46314	0.9996	-0.1249	-0.49581	0.29529	0.47676	0.62003	0.87094
AHNAK	6	-0.079761	-0.42655	0.41482	0.61526	0.66971	0.9996	0.17571	0.94101	0.1118	0.26416	0.3467	0.77264
THAP1	6	-0.16107	-0.6487	0.089622	0.24896	0.51653	0.9996	-0.22835	-0.91232	0.056817	0.17639	0.3616	0.77554
ELMOD3	6	0.016597	0.11772	0.80032	0.89305	0.90629	0.9996	0.21593	1.5312	0.051019	0.16503	0.12571	0.69574
AUTS2	6	-0.23284	-2.0873	0.012851	0.074866	0.036862	0.9996	0.04042	0.3625	0.69799	0.81309	0.71698	0.90748
COPS6	6	-0.20193	-0.91244	0.032708	0.13644	0.36154	0.9996	0.08426	0.38178	0.43941	0.60848	0.70262	0.90123
CITED1	6	-0.16391	-0.81804	0.084549	0.24175	0.41333	0.9996	0.18213	0.91118	0.098609	0.24455	0.3622	0.77574
UAP1L1	6	-0.22982	-1.2125	0.014156	0.079728	0.2253	0.9996	-0.084871	-0.44731	0.47898	0.64206	0.65465	0.88354
ATP4B	6	-0.063443	-0.34273	0.52575	0.70833	0.7318	0.9996	-0.13829	-0.74412	0.24862	0.4283	0.4568	0.81229
DCTN5	6	-0.10241	-0.44945	0.29167	0.50498	0.6531	0.9996	0.099246	0.43549	0.36177	0.5401	0.66321	0.88577
SART1	6	0.2668	1.1653	0.0026573	0.027961	0.24391	0.9996	0.34588	1.505	0.0012078	0.014802	0.13233	0.70145
FBXL7	6	-0.042758	-0.31174	0.68794	0.82449	0.75524	0.9996	-0.16407	-1.1923	0.17267	0.34296	0.23314	0.73289
SRY	6	0.11802	0.49971	0.17156	0.36491	0.61728	0.9996	-0.14689	-0.61231	0.22075	0.39949	0.54033	0.8409
ZNF586	6	0.084622	0.43827	0.32076	0.53212	0.66119	0.9996	0.3028	1.5685	0.0061359	0.045357	0.11677	0.69213
JOSD1	6	0.068431	0.54034	0.41371	0.6141	0.58896	0.9996	0.22783	1.7983	0.039134	0.14041	0.072133	0.65162
EZR	6	0.1839	1.1631	0.036429	0.14539	0.2448	0.9996	0.10055	0.6339	0.35516	0.53404	0.52614	0.83603
YWHAG	6	-0.14193	-0.87731	0.13639	0.31877	0.38032	0.9996	0.038107	0.23553	0.7149	0.82503	0.8138	0.94309
SPAG1	6	0.10786	0.44621	0.20988	0.41261	0.65545	0.9996	-0.1898	-0.77771	0.11175	0.26416	0.43674	0.80524
NUBP1	6	0.10725	0.56071	0.2121	0.41542	0.575	0.9996	0.012959	0.067633	0.88627	0.93515	0.94608	0.98565
KATNB1	6	0.2306	1.0852	0.0095178	0.063569	0.27785	0.9996	0.0029464	0.013837	0.95623	0.97464	0.98896	0.99694
G0S2	6	0.089183	0.39026	0.29713	0.51041	0.69635	0.9996	0.021129	0.091867	0.83027	0.90022	0.9268	0.97928
ELFN2	6	-0.062655	-0.39693	0.53092	0.71182	0.69142	0.9996	0.15708	0.99518	0.15625	0.3223	0.31965	0.76343
COPS7B	6	-0.10332	-0.47097	0.28727	0.50013	0.63766	0.9996	0.18442	0.84171	0.095323	0.2397	0.39995	0.7912
SASH3	6	-0.011379	-0.062028	0.95478	0.97914	0.95054	0.9996	0.093177	0.50715	0.39245	0.56799	0.61205	0.86854
HIGD2A	6	0.020306	0.13119	0.76911	0.87457	0.89562	0.9996	-0.042034	-0.27069	0.73746	0.84039	0.78663	0.93428
CHPF2	6	-0.056451	-0.35502	0.57822	0.74758	0.72257	0.9996	0.0035861	0.022523	0.95125	0.97134	0.98203	0.99506
ASUN	6	-0.019445	-0.12203	0.8867	0.94244	0.90287	0.9996	0.26477	1.6624	0.015702	0.079056	0.096438	0.66978
OTUD1	6	-0.23114	-1.1579	0.01348	0.07735	0.24689	0.9996	0.26866	1.3489	0.014301	0.075032	0.17736	0.71487
MTUS2	6	0.053158	0.36322	0.51604	0.70026	0.71644	0.9996	-0.1882	-1.2854	0.11513	0.26896	0.19864	0.72094
VCAM1	6	-0.16951	-0.97332	0.074548	0.2245	0.33039	0.9996	0.30625	1.7686	0.0053628	0.041918	0.076956	0.6542
CXCL14	6	-0.074179	-0.4821	0.44879	0.64288	0.62973	0.9996	-0.058189	-0.37801	0.6331	0.76475	0.70543	0.90197
SSFA2	6	-0.00086207	-0.0043951	0.95318	0.97809	0.99649	0.9996	-0.27711	-1.3886	0.022273	0.098757	0.16497	0.7102
C1orf110	6	0.10303	0.66105	0.22988	0.43716	0.50858	0.9996	-0.19306	-1.2354	0.10648	0.25696	0.21667	0.72999
SSSCA1	6	-0.12291	-0.59629	0.20219	0.4031	0.55098	0.9996	0.23596	1.1474	0.032467	0.12401	0.25122	0.73848
CSN2	6	-0.1358	-0.57793	0.15436	0.342	0.56331	0.9996	-0.36214	-1.5167	0.0037202	0.032627	0.12934	0.69971
FAM101B	6	0.37093	1.5754	0.00019326	0.0058224	0.11516	0.9996	0.28164	1.1927	0.010049	0.060237	0.233	0.73289
TCERG1L	6	0.27951	1.4386	0.0019326	0.023795	0.15026	0.9996	0.14804	0.75551	0.17953	0.35179	0.44994	0.81055
LGALS12	6	0.14748	0.87	0.09054	0.25037	0.3843	0.9996	0.099287	0.58391	0.36153	0.54005	0.55928	0.84817
TMOD1	6	-0.2248	-1.0066	0.01662	0.087845	0.31412	0.9996	0.19538	0.87806	0.077206	0.21188	0.37991	0.78023
DNAH14	6	0.14073	1.0372	0.10648	0.27529	0.29966	0.9996	0.19131	1.4083	0.083341	0.22198	0.15904	0.7059
TTF2	6	-0.091716	-0.40389	0.3453	0.55437	0.68629	0.9996	0.28517	1.2608	0.0088897	0.055859	0.20738	0.72496
OR5J2	6	-0.11677	-0.78756	0.22601	0.43261	0.43095	0.9996	-0.041411	-0.27894	0.74133	0.8429	0.78029	0.93248
MBD3L2	6	0.023486	0.12175	0.74321	0.85919	0.90309	0.9996	-0.026036	-0.13458	0.84201	0.90719	0.89295	0.96936
PHF8	6	-0.13731	-0.7523	0.14963	0.33608	0.45187	0.9996	-0.099416	-0.54352	0.40671	0.57971	0.58677	0.85766
GPR20	6	0.041571	0.28923	0.60112	0.76527	0.7724	0.9996	-0.0069552	-0.048479	0.97488	0.98535	0.96133	0.98954
ACTL9	6	0.040102	0.21717	0.61083	0.77134	0.82808	0.9996	0.12499	0.67441	0.25486	0.43495	0.50005	0.82632
SESN2	6	-0.062702	-0.26824	0.53073	0.71176	0.78852	0.9996	-0.21329	-0.90263	0.0745	0.20717	0.36672	0.77658
USP17L24	2	0.10069	1.2482	0.47246	0.66375	0.21196	0.9996	0.11924	1.4778	0.51754	0.67384	0.13946	0.70378
FAM219B	6	0.11654	0.67692	0.17717	0.37202	0.49846	0.9996	0.22966	1.3336	0.037202	0.13521	0.18232	0.71487
PXDC1	6	-0.16618	-1.1279	0.080298	0.23469	0.25934	0.9996	0.11244	0.76344	0.30447	0.48499	0.4452	0.80892
RNASEK	6	0.42019	2.0542	0	0	0.039953	0.9996	0.35251	1.7225	0.0010146	0.013117	0.084973	0.66012
TGFBI	6	-0.047334	-0.276	0.6505	0.79815	0.78255	0.9996	-0.13679	-0.78772	0.25331	0.43345	0.43086	0.80257
C16orf95	6	0.17467	1.1866	0.046188	0.16914	0.23539	0.9996	-0.20069	-1.3477	0.093149	0.23668	0.17775	0.71487
IBSP	6	-0.33088	-1.8753	0.00038651	0.008658	0.060747	0.9996	-0.0093949	-0.053393	0.95652	0.97489	0.95742	0.98858
NMNAT3	6	-0.056488	-0.33604	0.57779	0.7473	0.73684	0.9996	-0.11173	-0.66383	0.35153	0.53059	0.5068	0.8288
TRIM56	6	0.091268	0.63572	0.2864	0.49912	0.52496	0.9996	-0.058311	-0.40438	0.63228	0.76416	0.68594	0.89488
STK38L	6	-0.061083	-0.44191	0.54314	0.72163	0.65856	0.9996	0.15277	1.1053	0.16731	0.33647	0.26902	0.74484
GABRA1	6	-0.050511	-0.31745	0.62465	0.78107	0.7509	0.9996	0.039555	0.24791	0.70427	0.81774	0.8042	0.94025
ZNF841	6	-0.052328	-0.37578	0.60962	0.77089	0.70708	0.9996	0.28289	2.0361	0.009856	0.059912	0.041738	0.64072
hsa-mir-6860	4	-0.11681	-0.48163	0.32216	0.53284	0.63007	0.9996	-0.12742	-0.5223	0.39149	0.56732	0.60146	0.86347
HDDC3	6	0.034366	0.20376	0.65557	0.80186	0.83854	0.9996	-0.24729	-1.4589	0.041212	0.14524	0.1446	0.70541
hsa-mir-6509	4	0.16522	0.81391	0.12301	0.3008	0.4157	0.9996	-0.065497	-0.32022	0.66939	0.7918	0.7488	0.92079
STXBP3	6	0.097855	0.4336	0.25399	0.46399	0.66458	0.9996	0.20138	0.89014	0.06933	0.19862	0.37339	0.77813
CTPS2	6	-0.036682	-0.23714	0.73799	0.85589	0.81255	0.9996	-0.14429	-0.92803	0.22964	0.40923	0.35339	0.77443
IL7R	6	0.083901	0.54427	0.32452	0.53489	0.58626	0.9996	0.27666	1.7949	0.011257	0.064152	0.072672	0.65162
KLC2	6	-0.070866	-0.42508	0.47203	0.66336	0.67078	0.9996	0.2745	1.6503	0.011692	0.064932	0.098888	0.67373
SEMA7A	6	-0.37699	-2.5312	9.66E-05	0.0040568	0.011369	0.9996	-0.24712	-1.6582	0.04126	0.14529	0.097287	0.67026
ZNF592	6	0.076275	0.28494	0.36564	0.57147	0.77569	0.9996	-0.049799	-0.18494	0.6863	0.80486	0.85328	0.95503
RAD9A	6	-0.67867	-2.0368	0	0	0.041671	0.9996	-0.070185	-0.21266	0.56237	0.7121	0.83159	0.94917
HLA-DOA	6	-0.28084	-1.727	0.003382	0.03316	0.084159	0.9996	-0.030823	-0.18959	0.81119	0.88859	0.84963	0.95418
ACTRT2	6	-0.11516	-0.55011	0.23244	0.44008	0.58224	0.9996	-0.17331	-0.81956	0.14774	0.31156	0.41247	0.79654
PLA2G5	6	-0.061096	-0.41471	0.54295	0.72163	0.67836	0.9996	-0.10144	-0.68828	0.3983	0.57334	0.49127	0.82435
FIP1L1	6	-0.063056	-0.48708	0.52826	0.70995	0.6262	0.9996	0.26941	2.0816	0.014011	0.074131	0.037382	0.64072
SLC6A13	6	-0.18947	-1.4121	0.046575	0.16984	0.15793	0.9996	0.12535	0.93439	0.2537	0.43375	0.3501	0.77372
EFCAB7	6	-0.18578	-1.3057	0.051068	0.1792	0.19166	0.9996	-0.19604	-1.3719	0.10073	0.24777	0.17008	0.71378
RAB11FIP4	6	-0.15831	-0.7468	0.095951	0.25893	0.45519	0.9996	-0.3429	-1.6056	0.005846	0.044219	0.10835	0.68468
ISY1	6	-0.1638	-0.73731	0.084936	0.24222	0.46093	0.9996	0.26388	1.1945	0.015992	0.079836	0.23228	0.73289
C11orf70	6	0.19025	1.2328	0.030969	0.13162	0.21767	0.9996	0.1524	0.98671	0.16842	0.33802	0.32379	0.76515
POGLUT1	6	0.14092	0.62709	0.10595	0.27457	0.5306	0.9996	-0.26052	-1.1457	0.031694	0.12182	0.2519	0.73848
DOK7	6	-0.16021	-0.99456	0.091603	0.25219	0.31995	0.9996	0.12003	0.74584	0.27394	0.45509	0.45576	0.81189
TTYH1	6	0.026763	0.20139	0.71703	0.84333	0.84039	0.9996	-0.16732	-1.2588	0.16374	0.33196	0.20811	0.72496
TP53I3	6	-0.04564	-0.32334	0.66461	0.80875	0.74643	0.9996	0.14504	1.0275	0.18833	0.36264	0.3042	0.75769
YIPF5	6	0.12403	0.80548	0.15166	0.33829	0.42055	0.9996	-0.39305	-2.5442	0.0014977	0.017099	0.010954	0.60677
CALY	6	0.15758	1.0443	0.072084	0.21977	0.29636	0.9996	-0.18739	-1.241	0.11677	0.27145	0.21459	0.72861
hsa-mir-6826	4	0.075549	0.44041	0.45057	0.64459	0.65964	0.9996	0.11089	0.64547	0.40956	0.58269	0.51862	0.83348
HINFP	6	-0.20386	-0.73426	0.030679	0.13098	0.46279	0.9996	0.039534	0.14258	0.70442	0.81786	0.88662	0.96716
FOPNL	6	0.22748	1.44	0.010484	0.0671	0.14987	0.9996	-0.13607	-0.85775	0.25597	0.43609	0.39103	0.78572
INPP5B	6	-0.13895	-0.74598	0.14499	0.33007	0.45568	0.9996	0.27515	1.4837	0.011547	0.064438	0.13788	0.70378
MAB21L2	6	0.06411	0.44554	0.44217	0.63748	0.65593	0.9996	0.081569	0.5663	0.45323	0.62031	0.57119	0.85229
RGS9BP	6	0.01087	0.054392	0.84713	0.91956	0.95662	0.9996	-0.1869	-0.9294	0.11745	0.27241	0.35268	0.77372
CYB561D1	6	0.048166	0.31219	0.55044	0.72708	0.7549	0.9996	0.2604	1.6878	0.01749	0.084402	0.09145	0.66554
ASCC3	6	0.10525	0.72582	0.22017	0.42565	0.46795	0.9996	0.16346	1.1268	0.13972	0.30194	0.25981	0.74245
OR8K5	6	-0.379	-1.9227	4.83E-05	0.0022779	0.054517	0.9996	0.27151	1.3879	0.01319	0.07102	0.16516	0.7102
OR52D1	6	-0.060876	-0.51206	0.54459	0.72258	0.60861	0.9996	-0.0047999	-0.040238	0.9899	0.99384	0.9679	0.99093
ZNF790	6	0.12971	0.63813	0.13533	0.31761	0.52339	0.9996	-0.038229	-0.18668	0.76128	0.85656	0.85191	0.95497
MRPS28	6	0.33986	1.7137	0.00038651	0.008658	0.086582	0.9996	-0.044233	-0.22096	0.72205	0.83019	0.82513	0.94641
CDIP1	6	0.017913	0.17738	0.78776	0.88542	0.85921	0.9996	0.16257	1.6093	0.14228	0.30534	0.10755	0.68453
VILL	6	0.09744	0.64772	0.25577	0.46594	0.51717	0.9996	0.084441	0.56038	0.43845	0.60789	0.57522	0.85308
CNBP	6	-0.078022	-0.39082	0.42622	0.62533	0.69593	0.9996	0.42115	2.1124	0.00014494	0.0037406	0.034656	0.64072
KCTD11	6	-0.015431	-0.072603	0.91999	0.95915	0.94212	0.9996	-0.16827	-0.78476	0.16079	0.32772	0.43259	0.8026
NT5C3A	6	-0.071313	-0.46111	0.46869	0.66031	0.64472	0.9996	0.24164	1.5642	0.028215	0.11399	0.11778	0.693
PDXDC1	6	-0.12202	-0.43159	0.20538	0.40683	0.66604	0.9996	0.33922	1.211	0.0014011	0.016183	0.22588	0.73289
KCNK15	6	0.15539	0.9561	0.075804	0.22647	0.33902	0.9996	0.1102	0.67727	0.31365	0.49459	0.49823	0.82614
HAUS7	6	0.38187	1.4421	0.00014494	0.0052539	0.14928	0.9996	0.52136	1.9653	0	0	0.049376	0.64072
PLXNA2	6	0.054876	0.33391	0.50464	0.69062	0.73845	0.9996	0.11694	0.71039	0.2866	0.46841	0.47746	0.81931
ETS2	6	0.242	1.5709	0.0065224	0.050714	0.11621	0.9996	-0.046439	-0.30045	0.70867	0.82045	0.76383	0.92716
hsa-mir-765	4	0.053815	0.23486	0.57798	0.74744	0.81432	0.9996	0.36162	1.5823	0.0070538	0.048862	0.11359	0.69036
SSMEM1	6	-0.059731	-0.39082	0.55319	0.72962	0.69593	0.9996	-0.094038	-0.61251	0.43178	0.60244	0.5402	0.8409
OLA1	6	-0.047769	-0.23128	0.64702	0.79596	0.8171	0.9996	0.11761	0.56883	0.2838	0.46546	0.56947	0.85161
PLEKHA2	6	-0.017278	-0.073217	0.90328	0.94996	0.94163	0.9996	-0.075483	-0.31872	0.53121	0.68577	0.74994	0.92148
WDR90	6	-0.060106	-0.28393	0.55029	0.72705	0.77646	0.9996	0.20636	0.97578	0.063146	0.18887	0.32917	0.76676
HERC4	6	-0.0053684	-0.03159	0.99198	0.99612	0.9748	0.9996	-0.15624	-0.91857	0.19422	0.36894	0.35832	0.77447
TTLL6	6	0.15549	0.79012	0.075563	0.22601	0.42946	0.9996	-0.20328	-1.0304	0.089622	0.23145	0.3028	0.75712
MRGBP	6	0.20042	1.1774	0.022611	0.10732	0.23903	0.9996	0.33614	1.9735	0.0016427	0.017942	0.048443	0.64072
SUPV3L1	6	0.022003	0.11368	0.755	0.86615	0.90949	0.9996	0.38635	2.0012	0.00038651	0.0069991	0.045373	0.64072
SEC24A	6	-0.19809	-0.97029	0.036187	0.14499	0.3319	0.9996	-0.091744	-0.44894	0.44483	0.61327	0.65348	0.88309
KAT2B	6	-0.25401	-1.3783	0.0079235	0.057706	0.16812	0.9996	-0.053912	-0.29246	0.65934	0.78494	0.76993	0.9287
CAPN9	6	0.27766	2.2159	0.0020775	0.024571	0.026699	0.9996	-0.056091	-0.44532	0.6462	0.77482	0.65608	0.88426
